,tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
0,1584489600000,7,1,0,6,7,0,1,6
1,1584576000000,3,0,0,3,10,0,1,9
2,1584662400000,9,0,0,9,19,0,1,18
3,1584748800000,9,1,0,8,28,0,2,26
4,1584835200000,14,0,0,14,42,0,2,40
5,1584921600000,2,1,0,1,44,0,3,41
6,1585008000000,3,1,0,2,47,0,4,43
7,1585094400000,9,0,1,8,56,1,4,51
8,1585180800000,13,1,0,12,69,1,5,63
9,1585267200000,3,1,0,2,72,1,6,65
10,1585353600000,14,2,2,10,86,3,8,75
11,1585440000000,12,1,28,-17,98,31,9,58
12,1585526400000,7,2,0,5,105,31,11,63
13,1585612800000,1,0,0,1,106,31,11,64
14,1585699200000,9,4,77,-72,115,108,15,-8
15,1585785600000,0,12,91,-103,115,199,27,-111
16,1585872000000,47,1,7,39,162,206,28,-72
17,1585958400000,5,2,3,0,167,209,30,-72
18,1586044800000,35,2,8,25,202,217,32,-47
19,1586131200000,9,5,11,-7,211,228,37,-54
20,1586217600000,5,5,2,-2,216,230,42,-56
21,1586304000000,15,23,15,-23,231,245,65,-79
22,1586390400000,36,12,43,-19,267,288,77,-98
23,1586476800000,30,4,34,-8,297,322,81,-106
24,1586563200000,15,9,27,-21,312,349,90,-127
25,1586649600000,111,1,7,103,423,356,91,-24
26,1586736000000,52,3,6,43,475,362,94,19
27,1586822400000,36,2,10,24,511,372,96,43
28,1586908800000,25,4,4,17,536,376,100,60
29,1586995200000,13,4,3,6,549,379,104,66
30,1587081600000,10,6,3,1,559,382,110,67
31,1587168000000,34,3,7,24,593,389,113,91
32,1587254400000,43,6,2,35,636,391,119,126
33,1587340800000,5,3,1,1,641,392,122,127
34,1587427200000,10,5,2,3,651,394,127,130
35,1587513600000,36,5,30,1,687,424,132,131
36,1587600000000,27,4,12,11,714,436,136,142
37,1587686400000,20,11,14,-5,734,450,147,137
38,1587772800000,75,7,19,49,809,469,154,186
39,1587859200000,19,8,4,7,828,473,162,193
40,1587945600000,12,5,9,-2,840,482,167,191
41,1588032000000,58,1,21,36,898,503,168,227
42,1588118400000,20,3,10,7,918,513,171,234
43,1588204800000,75,5,8,62,993,521,176,296
44,1588291200000,83,5,33,45,1076,554,181,341
45,1588377600000,7,10,46,-49,1083,600,191,292
46,1588464000000,77,6,9,62,1160,609,197,354
47,1588550400000,13,8,7,-2,1173,616,205,352
48,1588636800000,41,7,21,13,1214,637,212,365
49,1588723200000,48,13,11,24,1262,648,225,389
50,1588809600000,34,14,9,11,1296,657,239,400
51,1588896000000,30,19,46,-35,1326,703,258,365
52,1588982400000,158,12,63,83,1484,766,270,448
